,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
0,TTL40687374208011001_2,489.99393847045036,-3.08328,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,128,0.1,-100.0
1,TTL37663467832010000,16.172796322429488,0.86523,1.0,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,2347,1.0,0.8442066884100001
2,TTR36336163164019000,252.6523939727437,-1.10544,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
3,TTR37628819908012000,439.7738810848224,-2.66478,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
4,TTR38581013032081000,388.8058396923988,-2.24005,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,27,0.1,-100.0
5,TTR37611508808076000,413.2014712908267,-2.44335,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
6,TTL37369130268024001,471.07736032733624,-2.92564,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,26,0.1,-100.0
7,TTL41622254076008019,553.9517009902822,-3.61626,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,475,0.3,-100.0
8,TTL39207140236013000,581.5763762725776,-3.84647,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC5,0.5,115,0.1,-100.0
9,TTR36936322756003000,367.273434654177,-2.06061,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
10,TTR37804853196006000,1.841077932469829,0.98466,1.0,1.0,CLOSURE,1,FRC6,0.4,,1,0.8974451282200001
11,TTL37807714740011004_2,467.6621225087004,-2.89718,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,337,0.2,-100.0
12,TTR36947861680012000,419.4479177105273,-2.4954,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
13,TTR37804853196006001,1.8382212846521684,0.98468,1.0,1.0,CLOSURE,1,FRC6,0.4,,1,0.89744846156
14,TTR39302366040027000,467.57304576933825,-2.89644,-100.0,0.0,ROADWORKS,0.6,FRC3,0.7,19,0.1,-100.0
15,TTR39273524740006001,260.5303103019964,-1.17109,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
16,TTR36191892636014000,254.29508134855848,-1.11913,-100.0,0.0,CLOSURE,1,FRC6,0.4,,1,-100.0
17,TTR38684892656001000,314.5730820857399,-1.62144,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
18,TTR36330382392059000,417.0037936791017,-2.47503,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
19,TTR38881096128015001,414.882263903848,-2.45735,-100.0,0.0,CLOSURE,1,FRC7,0.3,,1,-100.0
20,TTL39914076432003002,491.61654312836777,-3.0968,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,193,0.1,-100.0
21,TTR36252485980043000,256.69166212779226,-1.1391,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
22,TTR40098743964028000,498.07050418023476,-3.15059,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
23,TTR37666327352020000,499.19403898805456,-3.15995,-100.0,0.0,ROADWORKS,0.6,FRC4,0.6,-100,0,-100.0
24,TTR38863783048041001,422.3216240456314,-2.51935,-100.0,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-100.0
25,TTL40721999340002001_3,492.1450634926661,-3.10121,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,184,0.1,-100.0
26,TTL36010110936002004,271.85546997391447,-1.26546,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,139,0.1,-100.0
27,TTR38329976320011000,469.4138567797799,-2.91178,-100.0,0.0,CLOSURE,1,FRC3,0.7,,1,-100.0
28,TTR38794531188020000,450.8823349315271,-2.75735,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
29,TTL36445804980027027_3,311.76022635038254,-1.598,-100.0,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,289,0.1,-100.0
30,TTL37758664932010001,422.82769913749104,-2.52356,-100.0,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,148,0.1,-100.0
31,TTR35799467496284000,394.34652184103084,-2.28622,-100.0,0.0,CLOSURE,1,FRC4,0.6,,1,-100.0
