,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
0,TTL40687374208011001_2,True,489.99393847045036,-3.08328,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,128,0.1,-100.0
1,TTL37663467832010000,False,16.172796322429488,0.86523,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,2347,1.0,0.813046
2,TTR36336163164019000,False,252.6523939727437,-1.10544,0.0,CLOSURE,1,FRC3,0.7,,1,0.318912
3,TTR37628819908012000,False,439.7738810848224,-2.66478,0.0,CLOSURE,1,FRC4,0.6,,1,-0.012955999999999968
4,TTR38581013032081000,False,388.8058396923988,-2.24005,0.0,ROADWORKS,0.6,FRC1,0.9,27,0.1,-0.12801
5,TTR37611508808076000,False,413.2014712908267,-2.44335,0.0,CLOSURE,1,FRC4,0.6,,1,0.03132999999999997
6,TTL37369130268024001,True,471.07736032733624,-2.92564,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,26,0.1,-100.0
7,TTL41622254076008019,True,553.9517009902822,-3.61626,0.0,JAM_UNCONDITIONAL,0.9,FRC0,1,475,0.3,-100.0
8,TTL39207140236013000,True,581.5763762725776,-3.84647,0.0,JAM_UNCONDITIONAL,0.9,FRC5,0.5,115,0.1,-100.0
9,TTR36936322756003000,False,367.273434654177,-2.06061,0.0,CLOSURE,1,FRC3,0.7,,1,0.12787799999999996
10,TTR37804853196006000,False,1.841077932469829,0.98466,1.0,CLOSURE,1,FRC6,0.4,,1,0.876932
11,TTL37807714740011004_2,True,467.6621225087004,-2.89718,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,337,0.2,-100.0
12,TTR36947861680012000,False,419.4479177105273,-2.4954,0.0,CLOSURE,1,FRC4,0.6,,1,0.020919999999999994
13,TTR37804853196006001,False,1.8382212846521684,0.98468,1.0,CLOSURE,1,FRC6,0.4,,1,0.8769359999999999
14,TTR39302366040027000,False,467.57304576933825,-2.89644,0.0,ROADWORKS,0.6,FRC3,0.7,19,0.1,-0.299288
15,TTR39273524740006001,False,260.5303103019964,-1.17109,0.0,CLOSURE,1,FRC6,0.4,,1,0.24578200000000003
16,TTR36191892636014000,False,254.29508134855848,-1.11913,0.0,CLOSURE,1,FRC6,0.4,,1,0.256174
17,TTR38684892656001000,False,314.5730820857399,-1.62144,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-0.024288000000000004
18,TTR36330382392059000,False,417.0037936791017,-2.47503,0.0,CLOSURE,1,FRC3,0.7,,1,0.044994000000000006
19,TTR38881096128015001,False,414.882263903848,-2.45735,0.0,CLOSURE,1,FRC7,0.3,,1,-0.03147
20,TTL39914076432003002,True,491.61654312836777,-3.0968,0.0,JAM_UNCONDITIONAL,0.9,FRC3,0.7,193,0.1,-100.0
21,TTR36252485980043000,False,256.69166212779226,-1.1391,0.0,CLOSURE,1,FRC3,0.7,,1,0.31218
22,TTR40098743964028000,False,498.07050418023476,-3.15059,0.0,CLOSURE,1,FRC4,0.6,,1,-0.11011799999999994
23,TTR37666327352020000,False,499.19403898805456,-3.15995,0.0,ROADWORKS,0.6,FRC4,0.6,-100,0,-0.39199000000000006
24,TTR38863783048041001,False,422.3216240456314,-2.51935,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-0.20387000000000002
25,TTL40721999340002001_3,True,492.1450634926661,-3.10121,0.0,JAM_CONDITIONAL,0.9,FRC2,0.8,184,0.1,-100.0
26,TTL36010110936002004,True,271.85546997391447,-1.26546,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,139,0.1,-100.0
27,TTR38329976320011000,False,469.4138567797799,-2.91178,0.0,CLOSURE,1,FRC3,0.7,,1,-0.04235599999999998
28,TTR38794531188020000,False,450.8823349315271,-2.75735,0.0,CLOSURE,1,FRC4,0.6,,1,-0.03147
29,TTL36445804980027027_3,True,311.76022635038254,-1.598,0.0,JAM_CONDITIONAL,0.9,FRC3,0.7,289,0.1,-100.0
30,TTL37758664932010001,True,422.82769913749104,-2.52356,0.0,JAM_UNCONDITIONAL,0.9,FRC2,0.8,148,0.1,-100.0
31,TTR35799467496284000,False,394.34652184103084,-2.28622,0.0,CLOSURE,1,FRC4,0.6,,1,0.06275599999999998
32,TTR39013825272015001,False,426.69492652507955,-2.55579,0.0,CLOSURE,1,FRC7,0.3,,1,-0.05115799999999998
33,TTR37761549020028000,False,444.37839411943406,-2.70315,0.0,CLOSURE,1,FRC4,0.6,,1,-0.020630000000000037
34,TTR35545557360065000,False,320.353905451564,-1.66962,0.0,ROADWORKS,0.6,FRC1,0.9,-100,0,-0.03392400000000004
35,TTR36258256996010000,False,255.32760044138354,-1.12773,0.0,ROADWORKS,0.6,FRC2,0.8,-100,0,0.05445400000000003
36,TTR37726940840120000,False,120.43896835613465,-0.00366,0.0,ROADWORKS,0.6,FRC0,1,29,0.1,0.339268
37,TTR38938817688084000,False,201.8604005396623,-0.68217,0.0,CLOSURE,1,FRC4,0.6,,1,0.38356599999999996
38,TTL37305658340033000_2,True,332.20383159291305,-1.76837,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,254,0.1,-100.0
39,TTL37305658340033000_1,True,332.20383159291305,-1.76837,0.0,JAM_CONDITIONAL,0.9,FRC1,0.9,467,0.3,-100.0
40,TTR38895522872022000,False,421.61317491077915,-2.51344,0.0,CLOSURE,1,FRC6,0.4,,1,-0.022687999999999986
41,TTR37738464168004000,False,476.2945437095975,-2.96912,0.0,CLOSURE,1,FRC4,0.6,,1,-0.073824
42,TTL40531558336009000,True,517.8861205227091,-3.31572,0.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,183,0.1,-100.0
43,TTR36367898128012000,False,323.4598441901597,-1.6955,0.0,CLOSURE,1,FRC4,0.6,,1,0.1809
