,incident_key,filter_out,distance,distance_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
5142,TTR37807738832001001,False,0.7921735743221896,0.9934,1.0,CLOSURE,1,FRC1,0.9,,1,0.97868
4519,TTR37830822260001001,False,3.216805124245723,0.97319,1.0,CLOSURE,1,FRC1,0.9,,1,0.9746380000000001
3465,TTR37804853160042002,False,1.7933324339100623,0.98506,1.0,CLOSURE,1,FRC2,0.8,,1,0.957012
106,TTR37804853216042002,False,2.0615348161928755,0.98282,1.0,CLOSURE,1,FRC2,0.8,,1,0.956564
5047,TTL37833707752001000,False,3.7879709673063524,0.96843,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,2657,1.0,0.953686
1854,TTR37787540816051001,False,2.362934965448297,0.98031,1.0,CLOSURE,1,FRC3,0.7,,1,0.936062
1728,TTR37819280360027000,False,2.997487867105846,0.97502,1.0,CLOSURE,1,FRC3,0.7,,1,0.935004
7144,TTR37813509724020000,False,2.13057557859443,0.98225,1.0,CLOSURE,1,FRC4,0.6,,1,0.91645
5989,TTR37813509652020000,False,2.1910350720136926,0.98174,1.0,CLOSURE,1,FRC4,0.6,,1,0.9163479999999999
7453,TTR37827936732020002,False,3.3560207730516525,0.97203,1.0,CLOSURE,1,FRC4,0.6,,1,0.914406
2577,TTL37807738788009003,False,0.35990766350206127,0.997,1.0,JAM_UNCONDITIONAL,0.9,FRC1,0.9,932,0.7,0.8994000000000002
5191,TTR37807738616021000,False,1.1835816603366764,0.99014,1.0,CLOSURE,1,FRC5,0.5,,1,0.898028
3839,TTR37807738688021000,False,1.284843090000052,0.98929,1.0,CLOSURE,1,FRC5,0.5,,1,0.897858
145,TTR37804853228013000,False,1.8382212846521684,0.98468,1.0,CLOSURE,1,FRC5,0.5,,1,0.896936
2684,TTR37781770080021000,False,3.7086881957041586,0.96909,1.0,CLOSURE,1,FRC5,0.5,,1,0.893818
2730,TTR37784655552021000,False,3.7150837758306205,0.96904,1.0,CLOSURE,1,FRC5,0.5,,1,0.8938079999999999
6397,TTR37778884628013000,False,3.732334371259794,0.9689,1.0,CLOSURE,1,FRC5,0.5,,1,0.89378
4491,TTR37781770080053001,False,3.7385346442256524,0.96885,1.0,CLOSURE,1,FRC5,0.5,,1,0.89377
3641,TTR37784655516037003,False,3.7385346442256524,0.96885,1.0,CLOSURE,1,FRC5,0.5,,1,0.89377
5353,TTR37784655624053001,False,3.8488993500810316,0.96793,1.0,CLOSURE,1,FRC5,0.5,,1,0.893586
1653,TTR37784655516005000,False,3.941228962199634,0.96716,1.0,CLOSURE,1,FRC5,0.5,,1,0.893432
4305,TTR37848134668240001,False,4.827026730147306,0.95977,0.5,CLOSURE,1,FRC0,1,,1,0.891954
4265,TTR37862561912040001,False,7.187460540867257,0.9401,0.5,CLOSURE,1,FRC0,1,,1,0.8880199999999999
5315,TTR37848134644240001,False,7.200422766894361,0.94,0.5,CLOSURE,1,FRC0,1,,1,0.888
5140,TTL37807738788009003_1,False,0.35990766350206127,0.997,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,813,0.6,0.8794000000000002
5137,TTL37807738788009003_2,False,0.37057608307813755,0.99691,1.0,JAM_CONDITIONAL,0.9,FRC1,0.9,826,0.6,0.8793820000000001
