,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
549,TTL27682223572023000,1.827808229,0.98477,1,1,JAM_UNCONDITIONAL,0.9,FRC7,0.3,240,1,0.864130062
2072,TTP27650485296010000,12.44692429,0.89628,1,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,87,1,0.849381699
446,TTL27656255700011012_2,8.581257119,0.92849,1,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,206,1,0.838083343
1822,TTL27754358004020031_3,21.81850939,0.81818,1,0.5,JAM_CONDITIONAL,0.9,FRC2,0.8,217,1,0.836365006
1321,TTL27636058044020006_2,12.92918015,0.89226,1,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,147,1,0.832044997
1089,TTL27598544064010000_3,32.92994082,0.72558,1,0.5,JAM_CONDITIONAL,0.9,FRC2,0.8,378,1,0.820931642
1091,TTL27719734356012026_3,12.43137371,0.89641,1,0.5,JAM_CONDITIONAL,0.9,FRC4,0.6,321,1,0.816069965
1909,TTP27722619036028000,12.68844416,0.89426,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,86,1,0.815711631
914,TTL27569691452019000,32.2652909,0.73112,1,0.5,JAM_UNCONDITIONAL,0.9,FRC3,0.7,49,1,0.805188277
1937,TTP27728390232029000,14.64713864,0.87794,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,160,1,0.796324926
2015,TTP27731276496013001,17.27624472,0.85603,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,41,1,0.792673252
1953,TTP27748587564013000,19.58662544,0.83678,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,70,1,0.789464912
1508,TTL27650483968014000,7.615931029,0.93653,1,0.5,JAM_UNCONDITIONAL,0.9,FRC6,0.4,145,1,0.789423246
1724,TTL27739930316021000,21.56383161,0.8203,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,168,1,0.78671824
1986,TTP27757243932036001,21.64501549,0.81962,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,25,0.9,0.786604907
1992,TTP27572581828060000,40.90920836,0.65909,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,98,1,0.776516553
1104,TTL27656254600007000,7.27871989,0.93934,1,0.5,JAM_UNCONDITIONAL,0.9,FRC7,0.3,73,1,0.77322488
1928,TTP27673571292053000,34.74464252,0.71046,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,65,1,0.768411537
1920,TTP27644709444021000,36.79516896,0.69337,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,108,1,0.765563198
1759,TTR27682223680012000,1.014381339,0.99155,1,1,CLOSURE,1,FRC4,0.6,0,0,0.765259864
1420,TTR27682223752020000,1.185151888,0.99012,1,1,CLOSURE,1,FRC4,0.6,0,0,0.76502153
1744,TTR27676452996060000,1.486652924,0.98761,1,1,CLOSURE,1,FRC4,0.6,0,0,0.764603196
686,TTR27682223508020000,1.52327083,0.98731,1,1,CLOSURE,1,FRC4,0.6,0,0,0.764553196
1489,TTR27682223580004000,1.625256608,0.98646,1,1,CLOSURE,1,FRC4,0.6,0,0,0.764411529
812,TTR27673567272013000,1.938485174,0.98385,1,1,CLOSURE,1,FRC5,0.5,0,0,0.747309828
298,TTR27673567236021000,2.036364531,0.98303,1,1,CLOSURE,1,FRC5,0.5,0,0,0.747173161
96,TTR27676452600021000,2.144330981,0.98213,1,1,CLOSURE,1,FRC5,0.5,0,0,0.747023161
896,TTR27676452528021000,2.311024466,0.98074,1,1,CLOSURE,1,FRC5,0.5,0,0,0.746791494
631,TTR27679338324014001,1.551590016,0.98707,1,1,CLOSURE,1,FRC6,0.4,0,0,0.731179796
564,TTR27679338396014001,1.625561223,0.98645,1,1,CLOSURE,1,FRC6,0.4,0,0,0.731076462
398,TTR27673567560015000,1.010120122,0.99158,1,1,CLOSURE,1,FRC7,0.3,0,0,0.715264764
567,TTR27653370660011000,11.0193922,0.90817,1,0.5,CLOSURE,1,FRC3,0.7,0,0,0.684696369
678,TTR27708193548003001,13.56535758,0.88696,1,0.5,ACCIDENT,1,FRC3,0.7,0,0,0.681161362
