,incident_key,distance,distance_score,horizon_score,radius_boost_score,event,event_score,frc,frc_score,delay,delay_score,ranking_score
549,TTL27682223572023000,1.8278082290755373,0.98477,1,1,JAM_UNCONDITIONAL,0.9,FRC7,0.3,240,1,0.86413006159
2072,TTP27650485296010000,12.446924291686576,0.89628,1,0.5,JAM_UNCONDITIONAL,0.9,FRC2,0.8,87,1,0.84938169876
446,TTL27656255700011012_2,8.581257119490056,0.92849,1,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,206,1,0.8380833428300001
1822,TTL27754358004020031_3,21.8185093944564,0.81818,1,0.5,JAM_CONDITIONAL,0.9,FRC2,0.8,217,1,0.8363650060600001
1321,TTL27636058044020006_2,12.929180151782818,0.89226,1,0.5,JAM_CONDITIONAL,0.9,FRC3,0.7,147,1,0.8320449974200002
1089,TTL27598544064010000_3,32.929940815389024,0.72558,1,0.5,JAM_CONDITIONAL,0.9,FRC2,0.8,378,1,0.8209316418600001
1091,TTL27719734356012026_3,12.431373706159352,0.89641,1,0.5,JAM_CONDITIONAL,0.9,FRC4,0.6,321,1,0.8160699654700001
1909,TTP27722619036028000,12.688444163002767,0.89426,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,86,1,0.8157116314200001
914,TTL27569691452019000,32.26529090101783,0.73112,1,0.5,JAM_UNCONDITIONAL,0.9,FRC3,0.7,49,1,0.8051882770400001
1937,TTP27728390232029000,14.647138642939165,0.87794,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,160,1,0.79632492598
2015,TTP27731276496013001,17.276244724994925,0.85603,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,41,1,0.7926732520100002
1953,TTP27748587564013000,19.586625435967218,0.83678,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,70,1,0.7894649122600002
1508,TTL27650483968014000,7.615931028943489,0.93653,1,0.5,JAM_UNCONDITIONAL,0.9,FRC6,0.4,145,1,0.7894232455100001
1724,TTL27739930316021000,21.563831607103364,0.8203,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,168,1,0.7867182401000001
1986,TTP27757243932036001,21.645015486307216,0.81962,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,25,0.9,0.78660490654
1992,TTP27572581828060000,40.9092083595866,0.65909,1,0.5,JAM_UNCONDITIONAL,0.9,FRC4,0.6,98,1,0.77651655303
1104,TTL27656254600007000,7.2787198898617795,0.93934,1,0.5,JAM_UNCONDITIONAL,0.9,FRC7,0.3,73,1,0.7732248797800001
1928,TTP27673571292053000,34.74464252076223,0.71046,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,65,1,0.76841153682
1920,TTP27644709444021000,36.795168962213154,0.69337,1,0.5,JAM_UNCONDITIONAL,0.9,FRC5,0.5,108,1,0.7655631977900001
1759,TTR27682223680012000,1.0143813389564198,0.99155,1,1,CLOSURE,1,FRC4,0.6,0,0.0,0.76525986385
1420,TTR27682223752020000,1.1851518883759535,0.99012,1,1,CLOSURE,1,FRC4,0.6,0,0.0,0.7650215300400001
1744,TTR27676452996060000,1.4866529238920108,0.98761,1,1,CLOSURE,1,FRC4,0.6,0,0.0,0.76460319587
686,TTR27682223508020000,1.5232708304349623,0.98731,1,1,CLOSURE,1,FRC4,0.6,0,0.0,0.76455319577
1489,TTR27682223580004000,1.6252566077223747,0.98646,1,1,CLOSURE,1,FRC4,0.6,0,0.0,0.7644115288200001
812,TTR27673567272013000,1.938485174313023,0.98385,1,1,CLOSURE,1,FRC5,0.5,0,0.0,0.74730982795
298,TTR27673567236021000,2.0363645308007365,0.98303,1,1,CLOSURE,1,FRC5,0.5,0,0.0,0.74717316101
96,TTR27676452600021000,2.1443309813547335,0.98213,1,1,CLOSURE,1,FRC5,0.5,0,0.0,0.7470231607100001
896,TTR27676452528021000,2.3110244663097017,0.98074,1,1,CLOSURE,1,FRC5,0.5,0,0.0,0.7467914935800001
631,TTR27679338324014001,1.5515900160698919,0.98707,1,1,CLOSURE,1,FRC6,0.4,0,0.0,0.73117979569
